CustomEQ_Audio_Response
Add a redundant line for comment and simplicity of file process
0,0000000000    0,0000201227
1,4648437500    0,0031373103
2,9296875000    0,0124854532
4,3945312500    0,0280542899
5,8593750000    0,0498267143
7,3242187500    0,0777787695
8,7890625000    0,1118796383
10,2539062500    0,1520916301
11,7187500000    0,1983701619
13,1835937500    0,2506637328
14,6484375000    0,3089138913
16,1132812500    0,3730551924
17,5781250000    0,4430151430
19,0429687500    0,5187141355
20,5078125000    0,6000653647
21,9726562500    0,6869747287
23,4375000000    0,7793407108
24,9023437500    0,8770542409
26,3671875000    0,9799985337
27,8320312500    1,0880489050
29,2968750000    1,2010725617
30,7617187500    1,3189283679
32,2265625000    1,4414665843
33,6914062500    1,5685285841
35,1562500000    1,6999465442
36,6210937500    1,8355431162
38,0859375000    1,9751310782
39,5507812500    2,1185129738
41,0156250000    2,2654807436
42,4804687500    2,4158153555
43,9453125000    2,5692864455
45,4101562500    2,7256519770
46,8750000000    2,8846579347
48,3398437500    3,0460380665
49,8046875000    3,2095136911
51,2695312500    3,3747935924
52,7343750000    3,5415740203
54,1992187500    3,7095388234
55,6640625000    3,8783597380
57,1289062500    4,0476968590
58,5937500000    4,2171993208
60,0585937500    4,3865062111
61,5234375000    4,5552477447
62,9882812500    4,7230467151
64,4531250000    4,8895202422
65,9179687500    5,0542818236
67,3828125000    5,2169436935
68,8476562500    5,3771194787
70,3125000000    5,5344271334
71,7773437500    5,6884921215
73,2421875000    5,8389507994
74,7070312500    5,9854539428
76,1718750000    6,1276703459
77,6367187500    6,2652904101
79,1015625000    6,3980296330
80,5664062500    6,5256319005
82,0312500000    6,6478724851
83,4960937500    6,7645606562
84,9609375000    6,8755418164
86,4257812500    6,9806990904
87,8906250000    7,0799543090
89,3554687500    7,1732683535
90,8203125000    7,2606408447
92,2851562500    7,3421091870
93,7500000000    7,4177469986
95,2148437500    7,4876619812
96,6796875000    7,5519932998
98,1445312500    7,6109085561
99,6093750000    7,6646004502
101,0742187500    7,7132832265
102,5390625000    7,7571890041
104,0039062500    7,7965640817
105,4687500000    7,8316653051
106,9335937500    7,8627565701
108,3984375000    7,8901055233
109,8632812500    7,9139805114
111,3281250000    7,9346478127
112,7929687500    7,9523691760
114,2578125000    7,9673996764
115,7226562500    7,9799858917
117,1875000000    7,9903643901
118,6523437500    7,9987605163
120,1171875000    8,0053874569
121,5820312500    8,0104455621
123,0468750000    8,0141218985
124,5117187500    8,0165900088
125,9765625000    8,0180098492
127,4414062500    8,0185278832
128,9062500000    8,0182773048
130,3710937500    8,0173783704
131,8359375000    8,0159388185
133,3007812500    8,0140543596
134,7656250000    8,0118092190
136,2304687500    8,0092767196
137,6953125000    8,0065198918
139,1601562500    8,0035920997
140,6250000000    8,0005376765
142,0898437500    7,9973925594
143,5546875000    7,9941849201
145,0195312500    7,9909357847
146,4843750000    7,9876596402
147,9492187500    7,9843650229
149,4140625000    7,9810550883
150,8789062500    7,9777281596
152,3437500000    7,9743782531
153,8085937500    7,9709955805
155,2734375000    7,9675670270
156,7382812500    7,9640766050
158,2031250000    7,9605058827
159,6679687500    7,9568343882
161,1328125000    7,9530399892
162,5976562500    7,9490992478
164,0625000000    7,9449877511
165,5273437500    7,9406804182
166,9921875000    7,9361517831
168,4570312500    7,9313762555
169,9218750000    7,9263283575
171,3867187500    7,9209829392
172,8515625000    7,9153153723
174,3164062500    7,9093017229
175,7812500000    7,9029189030
177,2460937500    7,8961448037
178,7109375000    7,8889584081
180,1757812500    7,8813398864
181,6406250000    7,8732706741
